[LLEGADA]Llega Cliente 1, tipo: PADRES MEDIANA EDAD, Dia 1, segund 17
[LLEGADA]Llega Cliente 2, tipo: JOVENES QUE VIVE CON PADRES, Dia 1, segund 87
[LLEGADA]Llega Cliente 3, tipo: PADRES MEDIANA EDAD, Dia 1, segund 109
[LLEGADA]Llega Cliente 4, tipo: TERCERA EDAD, Dia 1, segund 121
[CAJA] El Cliente 2, tipo: JOVENES QUE VIVE CON PADRES entra a la cola de la caja 1. Productos: {'HARINA': 2}, Dia 1, segundo129
[CAJA] El Cliente 2, tipo: JOVENES QUE VIVE CON PADRES compra HARINA en la caja 1, Dia 1, segundo 140
[SALIDA] El Cliente 2, tipo: JOVENES QUE VIVE CON PADRES abandona la Caja 1 habiendo pagado 4, Dia 1, segundos 140
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'HARINA': 1, 'JUGO': 1, 'CONSOLA VIDEOJUEGOS': 2, 'TALLARINES': 1, 'QUESO': 5}, Dia 1, segundo232
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 238
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 241
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra JUGO en la caja 1, Dia 1, segundo 244
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra CONSOLA VIDEOJUEGOS en la caja 1, Dia 1, segundo 250
[CAJA] El Cliente 4, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {}, Dia 1, segundo251
[CAJA] El Cliente 4, tipo: TERCERA EDAD compra [] en la caja 2, Dia 1, segundo 251
[SALIDA] El Cliente 4, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 0, Dia 1, segundos 251
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 1, Dia 1, segundo 253
[CAJA] El Cliente 1, tipo: PADRES MEDIANA EDAD compra QUESO en la caja 1, Dia 1, segundo 268
[SALIDA] El Cliente 1, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 134, Dia 1, segundos 268
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'LECHE': 8, 'ARROZ': 1, 'CREMA': 2, 'CARNE': 2, 'CLORO': 8}, Dia 1, segundo417
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 497
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 521
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 524
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra CREMA en la caja 1, Dia 1, segundo 530
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 536
[CAJA] El Cliente 3, tipo: PADRES MEDIANA EDAD compra CLORO en la caja 1, Dia 1, segundo 560
[SALIDA] El Cliente 3, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 77, Dia 1, segundos 560
[LLEGADA]Llega Cliente 5, tipo: PADRES JOVENES, Dia 1, segund 581
[LLEGADA]Llega Cliente 6, tipo: TERCERA EDAD, Dia 1, segund 695
[LLEGADA]Llega Cliente 7, tipo: TERCERA EDAD, Dia 1, segund 730
[LLEGADA]Llega Cliente 8, tipo: PADRES MEDIANA EDAD, Dia 1, segund 755
[CAJA] El Cliente 5, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {'HARINA': 2, 'GALLETAS': 1, 'ARROZ': 1, 'JUGO': 5, 'CARNE': 3, 'TALLARINES': 2}, Dia 1, segundo778
[CAJA] El Cliente 6, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {'VINO': 1}, Dia 1, segundo782
[CAJA] El Cliente 6, tipo: TERCERA EDAD compra VINO en la caja 2, Dia 1, segundo 807
[SALIDA] El Cliente 6, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 5, Dia 1, segundos 807
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra HARINA en la caja 1, Dia 1, segundo 839
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra GALLETAS en la caja 1, Dia 1, segundo 842
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra ARROZ en la caja 1, Dia 1, segundo 845
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra JUGO en la caja 1, Dia 1, segundo 860
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra CARNE en la caja 1, Dia 1, segundo 869
[CAJA] El Cliente 5, tipo: PADRES JOVENES compra TALLARINES en la caja 1, Dia 1, segundo 875
[SALIDA] El Cliente 5, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 36, Dia 1, segundos 875
[CAJA] El Cliente 7, tipo: TERCERA EDAD entra a la cola de la caja 1. Productos: {'YOGURT': 3}, Dia 1, segundo908
[LLEGADA]Llega Cliente 9, tipo: TERCERA EDAD, Dia 1, segund 934
[CAJA] El Cliente 7, tipo: TERCERA EDAD compra YOGURT en la caja 1, Dia 1, segundo 935
[SALIDA] El Cliente 7, tipo: TERCERA EDAD abandona la Caja 1 habiendo pagado 9, Dia 1, segundos 935
[CAJA] El Cliente 9, tipo: TERCERA EDAD entra a la cola de la caja 1. Productos: {'TOMATE': 4}, Dia 1, segundo1071
[LLEGADA]Llega Cliente 10, tipo: PADRES JOVENES, Dia 1, segund 1135
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'SAL': 2, 'LECHE': 10, 'HARINA': 2, 'CARNE': 1, 'TALLARINES': 2, 'MANZANA': 7}, Dia 1, segundo1141
[CAJA] El Cliente 9, tipo: TERCERA EDAD compra TOMATE en la caja 1, Dia 1, segundo 1166
[SALIDA] El Cliente 9, tipo: TERCERA EDAD abandona la Caja 1 habiendo pagado 8, Dia 1, segundos 1166
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra SAL en la caja 2, Dia 1, segundo 1194
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 2, Dia 1, segundo 1224
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 2, Dia 1, segundo 1230
[CAJA] El Cliente 10, tipo: PADRES JOVENES entra a la cola de la caja 1. Productos: {}, Dia 1, segundo1231
[CAJA] El Cliente 10, tipo: PADRES JOVENES compra [] en la caja 1, Dia 1, segundo 1231
[SALIDA] El Cliente 10, tipo: PADRES JOVENES abandona la Caja 1 habiendo pagado 0, Dia 1, segundos 1231
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 2, Dia 1, segundo 1233
[LLEGADA]Llega Cliente 11, tipo: RAPIDOS, Dia 1, segund 1238
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra TALLARINES en la caja 2, Dia 1, segundo 1239
[CAJA] El Cliente 8, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 2, Dia 1, segundo 1260
[SALIDA] El Cliente 8, tipo: PADRES MEDIANA EDAD abandona la Caja 2 habiendo pagado 51, Dia 1, segundos 1260
[CAJA] El Cliente 11, tipo: RAPIDOS entra a la cola de la caja 1. Productos: {'JUGO': 2, 'TALLARINES': 2}, Dia 1, segundo1315
[LLEGADA]Llega Cliente 12, tipo: PADRES MEDIANA EDAD, Dia 1, segund 1348
[CAJA] El Cliente 11, tipo: RAPIDOS compra JUGO en la caja 1, Dia 1, segundo 1348
[CAJA] El Cliente 11, tipo: RAPIDOS compra TALLARINES en la caja 1, Dia 1, segundo 1354
[SALIDA] El Cliente 11, tipo: RAPIDOS abandona la Caja 1 habiendo pagado 6, Dia 1, segundos 1354
[LLEGADA]Llega Cliente 13, tipo: PADRES MEDIANA EDAD, Dia 1, segund 1543
[LLEGADA]Llega Cliente 14, tipo: TERCERA EDAD, Dia 1, segund 1726
[LLEGADA]Llega Cliente 15, tipo: PADRES MEDIANA EDAD, Dia 1, segund 1759
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'LECHE': 4, 'TOALLA NOVA': 2, 'HARINA': 1, 'LECHUGA': 1, 'JUGO': 2, 'TOMATE': 6, 'CARNE': 1, 'ARROZ': 1, 'PASTA DE DIENTES': 2, 'MANZANA': 2, 'CLORO': 10}, Dia 1, segundo1775
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra LECHE en la caja 1, Dia 1, segundo 1867
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra TOALLA NOVA en la caja 1, Dia 1, segundo 1873
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 1, Dia 1, segundo 1876
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra LECHUGA en la caja 1, Dia 1, segundo 1879
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra JUGO en la caja 1, Dia 1, segundo 1885
[CAJA] El Cliente 14, tipo: TERCERA EDAD entra a la cola de la caja 2. Productos: {'PAN': 4, 'CONSERVAS': 3, 'TALLARINES': 2, 'ARROZ': 1}, Dia 1, segundo1898
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra TOMATE en la caja 1, Dia 1, segundo 1903
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra CARNE en la caja 1, Dia 1, segundo 1906
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra ARROZ en la caja 1, Dia 1, segundo 1909
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra PASTA DE DIENTES en la caja 1, Dia 1, segundo 1915
[CAJA] El Cliente 14, tipo: TERCERA EDAD compra PAN en la caja 2, Dia 1, segundo 1916
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra MANZANA en la caja 1, Dia 1, segundo 1921
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 1. Productos: {'SAL': 2, 'MANZANA': 4, 'YOGURT': 2, 'GALLETAS': 2, 'TOSTADORA': 1, 'TOMATE': 4, 'CARNE': 2, 'TALLARINES': 2, 'QUESO': 5, 'HARINA': 2}, Dia 1, segundo1924
[CAJA] El Cliente 14, tipo: TERCERA EDAD compra CONSERVAS en la caja 2, Dia 1, segundo 1925
[CAJA] El Cliente 14, tipo: TERCERA EDAD compra TALLARINES en la caja 2, Dia 1, segundo 1931
[CAJA] El Cliente 14, tipo: TERCERA EDAD compra ARROZ en la caja 2, Dia 1, segundo 1934
[SALIDA] El Cliente 14, tipo: TERCERA EDAD abandona la Caja 2 habiendo pagado 41, Dia 1, segundos 1934
[LLEGADA]Llega Cliente 16, tipo: PADRES MEDIANA EDAD, Dia 1, segund 1950
[CAJA] El Cliente 15, tipo: PADRES MEDIANA EDAD entra a la cola de la caja 2. Productos: {'SAL': 2, 'HARINA': 2, 'CLORO': 9}, Dia 1, segundo1951
[CAJA] El Cliente 12, tipo: PADRES MEDIANA EDAD compra CLORO en la caja 1, Dia 1, segundo 1951
[SALIDA] El Cliente 12, tipo: PADRES MEDIANA EDAD abandona la Caja 1 habiendo pagado 80, Dia 1, segundos 1951
[LLEGADA]Llega Cliente 17, tipo: PADRES JOVENES, Dia 1, segund 1965
[CAJA] El Cliente 15, tipo: PADRES MEDIANA EDAD compra SAL en la caja 2, Dia 1, segundo 1967
[CAJA] El Cliente 15, tipo: PADRES MEDIANA EDAD compra HARINA en la caja 2, Dia 1, segundo 1973
[CAJA] El Cliente 13, tipo: PADRES MEDIANA EDAD compra SAL en la caja 1, Dia 1, segundo 1975
[LLEGADA]Llega Cliente 18, tipo: PADRES MEDIANA EDAD, Dia 1, segund 1976
