[LLEGADA] Cliente 1: Dia 1, segundo 61 ha llegado al Estacionamiento
[LLEGADA] Cliente 2: Dia 1, segundo 98 ha llegado al Estacionamiento
[LLEGADA] Cliente 3: Dia 1, segundo 135 ha llegado al Estacionamiento
[LLEGADA] Cliente 4: Dia 1, segundo 193 ha llegado al Estacionamiento
[LLEGADA] Cliente 5: Dia 1, segundo 250 ha llegado al Estacionamiento
[CAJA] El Cliente 2: entra a la cola de la caja 1 en DIA 1, 357 s, con {'YOGURT': [3, 'LACTEOS'], 'JUGO': [2, 'BEBESTIBLES'], 'ARROZ': [3, 'ABARROTES'], 'TOSTADORA': [1, 'LBLANCA'], 'LECHUGA': [1, 'VEGETALES FRUTAS'], 'CARNE': [1, 'ABARROTES']}
El cliente 2, compra YOGURT, en la caja 1. DIA 1, 384 segundos
El cliente 2, compra JUGO, en la caja 1. DIA 1, 390 segundos
El cliente 2, compra ARROZ, en la caja 1. DIA 1, 399 segundos
El cliente 2, compra TOSTADORA, en la caja 1. DIA 1, 402 segundos
El cliente 2, compra LECHUGA, en la caja 1. DIA 1, 405 segundos
El cliente 2, compra CARNE, en la caja 1. DIA 1, 408 segundos
[SALIDA] El Cliente 2, abandona la Caja 1, habiendo pagado 49
[LLEGADA] Cliente 6: Dia 1, segundo 453 ha llegado al Estacionamiento
[CAJA] El Cliente 5: entra a la cola de la caja 1 en DIA 1, 578 s, con {'CARNE': [1, 'ABARROTES'], 'GALLETAS': [2, 'DULCES'], 'CLORO': [7, 'LIMPIEZA'], 'YOGURT': [3, 'LACTEOS'], 'BOMBONES': [2, 'DULCES'], 'PAPAS FRITAS': [2, 'DULCES']}
[CAJA] El Cliente 3: entra a la cola de la caja 1 en DIA 1, 593 s, con {'PAN': [17, 'ABARROTES'], 'GALLETAS': [3, 'DULCES'], 'JUGO': [4, 'BEBESTIBLES'], 'CONSERVAS': [2, 'ABARROTES'], 'TALLARINES': [2, 'ABARROTES'], 'HARINA': [1, 'ABARROTES']}
[LLEGADA] Cliente 7: Dia 1, segundo 598 ha llegado al Estacionamiento
El cliente 5, compra CARNE, en la caja 1. DIA 1, 599 segundos
El cliente 5, compra GALLETAS, en la caja 1. DIA 1, 605 segundos
[CAJA] El Cliente 1: entra a la cola de la caja 1 en DIA 1, 608 s, con {'MANZANA': [6, 'VEGETALES FRUTAS'], 'CERVEZA': [6, 'ALCOHOL'], 'CARNE': [5, 'ABARROTES'], 'PAN': [18, 'ABARROTES'], 'CLORO': [9, 'LIMPIEZA'], 'LECHUGA': [2, 'VEGETALES FRUTAS'], 'HARINA': [1, 'ABARROTES']}
El cliente 5, compra CLORO, en la caja 1. DIA 1, 626 segundos
El cliente 5, compra YOGURT, en la caja 1. DIA 1, 635 segundos
[LLEGADA] Cliente 8: Dia 1, segundo 640 ha llegado al Estacionamiento
El cliente 5, compra BOMBONES, en la caja 1. DIA 1, 641 segundos
El cliente 5, compra PAPAS FRITAS, en la caja 1. DIA 1, 647 segundos
[SALIDA] El Cliente 5, abandona la Caja 1, habiendo pagado 95
El cliente 3, compra PAN, en la caja 1. DIA 1, 716 segundos
[LLEGADA] Cliente 9: Dia 1, segundo 718 ha llegado al Estacionamiento
[CAJA] El Cliente 4: entra a la cola de la caja 1 en DIA 1, 723 s, con {'MANZANA': [2, 'VEGETALES FRUTAS'], 'CERVEZA': [12, 'ALCOHOL'], 'PAN': [19, 'ABARROTES'], 'TELEVISION': [1, 'ELECTRONICOS'], 'CLORO': [9, 'LIMPIEZA'], 'YOGURT': [5, 'LACTEOS'], 'CONSERVAS': [3, 'ABARROTES']}
El cliente 3, compra GALLETAS, en la caja 1. DIA 1, 725 segundos
El cliente 3, compra JUGO, en la caja 1. DIA 1, 737 segundos
El cliente 3, compra CONSERVAS, en la caja 1. DIA 1, 743 segundos
El cliente 3, compra TALLARINES, en la caja 1. DIA 1, 749 segundos
El cliente 3, compra HARINA, en la caja 1. DIA 1, 752 segundos
[SALIDA] El Cliente 3, abandona la Caja 1, habiendo pagado 62
El cliente 1, compra MANZANA, en la caja 1. DIA 1, 788 segundos
